domain,url,ct_timestamp,label,n_bk_dom,n_blog_dom,n_forum_dom,ptile95_contain_hp,mean_contain_hp,med_contain_hp,ptile95_contain_num,r_contain_num_dom,n_contain_hp_num_url,n_contain_hp_num_dom,r_contain_hp_num_url,r_contain_hp_num_dom,n_follow_url,n_nofollow_url,r_follow_url,r_external_domain_to_domain,dom_to_page_url_med,dom_to_page_url_95ptil,dom_to_page_dom_med,dom_to_page_dom_95ptil,link_to_page_url_med,link_to_page_url_95ptil,link_to_page_dom_med,link_to_page_dom_95ptil,page_to_dom_url_med,page_to_dom_url_95ptil,page_to_dom_dom_med,page_to_dom_dom_95ptil,page_to_link_url_med,page_to_link_url_95ptil,page_to_link_dom_med,page_to_link_dom_95ptil,create_date_month,wm_start_date_month,n_rec_total,n_rec_normal,n_num_change,jcd_nl_mode,max_num_days,min_num_days,r_rec_normal,pds_html_con_rep_ratio_mean,pds_html_txt_rep_ratio_mean,pds_html_txt_mjr_sum_mean,pds_html_txt_mjr_rep_mean,pds_html_con_mjr_sum_mean,pds_html_con_mjr_rep_mean,pds_vp_mjr_sum_mean,pds_vp_mjr_rep_mean,pds_fp_mjr_sum_mean,pds_fp_mjr_rep_mean,pds_vp_loc_w_sum_mean,pds_vp_size_w_pct_mean,pds_fp_loc_w_sum_mean,pds_fp_size_w_pct_mean,pds_vp_area_ratio_mean,pds_fp_area_rfp_mean,pds_fp_area_rvp_mean,pds_html_con_mjr_ps_max_ratio,pds_html_con_mjr_ps_en,pds_vp_mjr_ps_max_ratio,pds_vp_mjr_ps_en,pds_fp_mjr_ps_max_ratio,pds_fp_mjr_ps_en,pds_head_sum_mean,pds_title_sum_mean
www.brotherprintersupportpro.us,https://www.brotherprintersupportpro.us,2020_09_22_04_28_05_77,1,627,100,176,4.0,2.2037,1.0,13.675,0.326,17,8,0.0209,0.0176,3116,1017,0.7539,0.2648,0.0,1.0,0.0,10.7,4.0,367.0,5.0,323.6,21.0,209.4,7.0,344.9,24.0,646.0,9.0,784.5,201808,201903,10,6,2,1.0,310,103,0.6,0.8927,0.7163,3.6957,2.6957,10.7609,9.7609,1.3696,0.0,1.1957,0.0543,0.2957,0.9495,0.1126,0.9652,0.0097,0.0024,0.01,0.6522,1.5156,0.5978,1.4365,0.7717,1.408,5.837000000000000,0.7283
www.quickensupportline.com,https://www.quickensupportline.com,2020_09_19_16_28_42_781,1,152,25,13,9.0,3.7326,2.0,14.75,0.3605,55,21,0.3198,0.2442,4243,161,0.9634,0.125,0.0,0.0,0.0,1.0,2.0,8.0,3.0,32.35,55.0,108.0,17.75,282.05,93.0,116.0,25.5,393.675,201710,201806,24,10,1,1.0,768,45,0.4167,0.9136,0.7732,4.6364,3.6364,11.7576,10.7576,2.0707,1.0707,3.6162,2.6162,0.5368,0.93,0.2197,0.9591,0.0099,0.0019,0.0163,0.6566,1.6302,0.8687,0.6634,0.6364,1.7714,4.0909,0.0505
lexmark-supportnumber.com,https://lexmark-supportnumber.com,2020_09_22_02_11_59_467,1,41,23,6,10.975,3.65,2.0,14.65,0.8667,70,20,0.7527,0.6667,554,786,0.4134,0.1707000000000000,0.0,21.0,0.0,2.0,12.0,74.05,9.0,157.0,8.0,54.0,5.0,28.0,12.0,83.0,10.0,63.0,202001,202001,0,0,0,0.0,0,0,0.0,0.8308,0.7262,4.58,3.6,8.98,8.0,1.26,0.5,3.68,2.74,0.3955,0.6431,0.9242,0.8235,0.0045,0.0028,0.0134,0.24,3.544,0.34,1.844,0.24,3.668,4.46,0.7
www.netgearrouterhelp.com,https://www.netgearrouterhelp.com,2020_09_22_02_39_51_3,1,89,14,2,5.6,2.66,1.0,31.0,0.8267,107,47,0.608,0.6267,733,184,0.7993,0.236,0.0,0.2,0.0,1.8,1.0,19.4,2.5,138.8,38.0,114.4,13.0,117.6,70.0,127.0,20.0,163.7,201309,201312,60,28,4,0.0,919,6,0.4667,0.8701,0.6937,3.3333,2.3333,8.0575,7.0575,0.0575,0.0,0.5287,0.0115,0.0214,0.0531,0.0784,0.1091,0.0004,0.0002,0.0012,0.6207,1.9527,0.0,0.3588,0.0,1.3141,1.0805,0.2989
www.hpprintersupportpro.us,https://www.hpprintersupportpro.us,2020_09_22_05_27_11_286,1,946,166,240,5.0,2.0691,1.0,14.0,0.4302,20,16,0.0164,0.0223,2857,2143,0.5714,0.518,0.0,5.0,0.0,33.0,6.0,681.0,6.0,482.25,11.0,581.0,8.5,362.0,15.0,871.05,12.0,835.375,201808,201902,28,16,6,1.0,168,46,0.5714,0.078,0.0267,0.4276,0.2368,0.6118,0.4276,0.0,0.0,0.0395,0.0066,0.0,0.0,0.009,0.023,0.0,0.0,0.0003,0.0,0.9541,0.0,0.0,0.0,0.2538,0.2632,0.125
www.24x7techsupportnumber.com,http://www.24x7techsupportnumber.com,2020_09_25_03_13_01_952,1,32,1,2,40.4,11.5882,1.0,3.0,0.5882,18,10,0.36,0.5882,107,72,0.5978,0.2188,0.0,0.0,0.0,1.0,4.0,105.1,3.75,87.3,10.0,97.0,5.0,175.875,16.0,133.3,6.0,199.9,201507,201608,360,120,4,0.0,817,31,0.3333,0.4357,0.0747,2.1224,0.2653,3.2245,1.6735,2.1327,0.0204,1.8163,0.0306,0.3797,0.525,0.2328,0.9716,0.0061,0.0028,0.0053,0.4184,2.496,0.8776,0.9753,0.602,2.0312,0.7245,0.2143
www.usahelplinenumbers.com,https://www.usahelplinenumbers.com,2020_09_22_06_53_40_407,1,73,3,12,15.3,4.1562,2.0,34.95,0.5417,0,0,0.0,0.0,2831,91,0.9689,0.0547999999999999,0.0,0.0,0.0,0.0,10.0,18.0,4.0,107.4,41.0,48.0,7.0,90.5,67.0,77.0,9.0,127.0,201807,202005,9,1,0,0.0,132,0,0.1111,0.4873,0.2908,1.7163,0.7092,3.7163,2.7163,0.3688,0.1773,0.4043,0.156,0.1167,0.1201,0.0923,0.1715,0.001,0.0004,0.0013,0.3688,2.4927,0.0,1.1074,0.0,1.3696,2.539,0.5248
epsonsupports.net,https://epsonsupports.net,2020_09_22_04_35_48_926,1,63,21,12,2.0,1.3571,1.0,6.85,0.2143,6,3,0.1091,0.0714,26,55,0.321,0.3016,0.0,3.0,0.0,3.0,5.0,49.0,7.0,67.9,11.0,114.0,11.0,173.4,23.0,145.0,22.0,222.1,201803,201902,31,22,3,0.0,410,3,0.7097,0.8,0.2439,2.1111,0.9394,10.3535,9.3232,0.0505,0.0,0.6364,0.0909,0.0082,0.0421,0.2244,0.1662,0.0001,0.0003,0.0012,0.2929,3.5273,0.0,0.3578,0.0,1.6589,4.596,0.7374
errorproblems.com,https://errorproblems.com,2020_09_27_15_41_57_774,1,16,0,1,2.55,1.5,1.0,2.0,0.3,0,0,0.0,0.0,129,684,0.1587,0.125,0.0,0.0,0.0,1.5,679.0,683.0,8.75,275.0,485.0,577.0,5.5,412.0,745.0,862.0,7.5,560.0,202001,202001,0,0,0,0.0,0,0,0.0,0.904,0.619,2.8878,1.8878,11.4796,10.4796,1.0714,0.0714,1.9898,0.9898,0.3441,0.4319,0.4575,0.6891,0.002,0.0019,0.0064,0.3469,2.948,0.949,0.3403,0.5408,1.7097,2.3265,0.5204
quickentechnicalsupport.com,https://quickentechnicalsupport.com,2020_09_22_05_14_34_492,1,59,5,1,3.0,1.8696,2.0,20.0,0.4348,10,8,0.2778,0.3478,4908,92,0.9816,0.3220000000000000,0.0,0.0,0.0,2.0,2.0,9.0,2.5,16.6,110.0,110.0,5.5,111.1,131.0,131.0,7.0,131.45,201409,201305,57,43,0,1.0,1943,1318,0.7544,0.4841,0.4833,7.6667,6.6667,8.0,7.0,2.3333,1.3333,7.0,6.0,0.5112,0.9954,1.5648,1.0,0.0141,0.011,0.0318,0.3333,1.585,0.6667,0.9183,0.6667,0.9183,0.6667,0.3333
